current_name,abbrev,team_colours,second_colour,backup_team_colours,backup_second_colour
Sydney FC,SFC,#68AEE8,#274A71,lightblue,navyblue
Melbourne Victory,MVI,#050F2C,#3E444D,navyblue,white
Brisbane Roar,BRI,#FE9717,black,#CB601C,black
Adelaide United,ADE,#D10211,navyblue,#E3001B,navyblue
Perth Glory,PER,#522968,yellow,purple,yellow
Central Coast Mariners,CCM,#FEEB68,navyblue,#F8BE02,navyblue
Newcastle Jets,NEW,#3275E1,red,blue,red
Wellington Phoenix,WEL,#E3C922,black,yellow,black
Melbourne City,MCI,#70A3CC,red,#0355AF,red
Western Sydney Wanderers,WSW,#000000,#CD1231,#000000,red
Gold Coast United,GCU,#C19B24,blue,#C19B24,blue
North Queensland Fury,NQF,limegreen,green,limegreen,green
New Zealand Knights,NZK,#0000A0,black,#0000A0,black
Western United,WUN,#2bb56c,black,#2bb56c,black
